_ID,TimeSt,Country,Province,City,Latitude,Longitude,ClosestDistance,ClosestPOI
4523019,2017-06-21 12:00:02.683,CA,ON,Kitchener,43.4553,-80.4845,594.8775681344704,POI3
4523104,2017-06-21 18:00:02.690,CA,ON,London,42.9611,-81.2431,674.4017128829894,POI3
4523121,2017-06-21 18:00:02.757,CA,ON,Windsor,42.2654,-83.0261,839.5882858817959,POI3
4523184,2017-06-21 18:00:02.833,CA,ON,London,42.9611,-81.2431,674.4017128829894,POI3
4523251,2017-06-21 19:00:03.770,CA,ON,Guelph,43.5425,-80.2676,574.9188900275063,POI3
4523347,2017-06-21 15:00:03.870,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4523389,2017-06-21 11:00:03.883,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4523439,2017-06-21 19:00:04.027,CA,ON,Guelph,43.5544,-80.2969,576.5105164385697,POI3
4523455,2017-06-21 00:00:04.367,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4523508,2017-06-21 04:00:04.373,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4523593,2017-06-21 17:00:04.813,CA,ON,Cambridge,43.3677,-80.33800000000001,588.4457820385354,POI3
4523720,2017-06-21 05:00:05.120,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4523782,2017-06-21 11:00:05.333,CA,ON,Guelph,43.5215,-80.2338,573.4347771941083,POI3
4523866,2017-06-21 16:00:05.490,CA,ON,Waterloo,43.4737,-80.5309,597.4093891673598,POI3
4523953,2017-06-21 18:00:05.617,CA,ON,London,43.0061,-81.2962,675.9390643957918,POI3
4523994,2017-06-21 04:00:05.630,CA,ON,London,43.0061,-81.2962,675.9390643957918,POI3
4524010,2017-06-21 09:00:05.717,CA,ON,Windsor,42.2654,-83.0261,839.5882858817959,POI3
4524024,2017-06-21 18:00:06.050,CA,ON,Cambridge,43.4471,-80.0828,566.0468840690506,POI3
4524055,2017-06-21 10:00:06.053,CA,ON,Cambridge,43.4471,-80.0828,566.0468840690506,POI3
4524106,2017-06-21 12:00:06.090,CA,ON,Windsor,42.2654,-83.0261,839.5882858817959,POI3
4524183,2017-06-21 12:00:06.140,CA,ON,Windsor,42.2654,-83.0261,839.5882858817959,POI3
4524225,2017-06-21 22:00:06.340,CA,ON,Woodstock,43.13375,-80.74328,629.4987502194891,POI3
4524238,2017-06-21 03:00:06.427,CA,ON,London,42.9923,-81.2531,673.5230698403195,POI3
4524303,2017-06-21 11:00:06.510,CA,ON,Chatham,42.3778,-82.1897,773.4731862786313,POI3
4524358,2017-06-21 03:00:06.810,CA,ON,London,42.9832,-81.2847,676.2718490741368,POI3
4524446,2017-06-21 21:00:07.040,CA,ON,Kitchener,43.391000000000005,-80.441,594.7826610347195,POI3
4524506,2017-06-21 18:00:07.080,CA,ON,Kitchener,43.4233,-80.5383,600.3245118735649,POI3
4524565,2017-06-21 13:00:07.090,CA,ON,Kitchener,43.4233,-80.5383,600.3245118735649,POI3
4524580,2017-06-21 17:00:07.133,CA,ON,Kitchener,43.4284,-80.4311,592.2587517418959,POI3
4524615,2017-06-21 01:00:04.513,CA,ON,Kitchener,43.4381,-80.5099,597.5475208767815,POI3
4524646,2017-06-21 15:00:05.410,CA,ON,Brantford,43.1772,-80.248,591.7274634671915,POI3
4524688,2017-06-21 22:00:05.963,CA,ON,Kitchener,43.4381,-80.5099,597.5475208767815,POI3
4524714,2017-06-21 19:00:06.133,CA,ON,Cambridge,43.4471,-80.0828,566.0468840690506,POI3
4524786,2017-06-21 06:00:06.537,CA,ON,Windsor,42.3159,-83.0311,837.2616052532032,POI3
4524796,2017-06-21 10:00:06.697,CA,ON,Kitchener,43.4134,-80.49600000000001,597.7092423545165,POI3
4524844,2017-06-21 21:00:07.133,CA,ON,Windsor,42.3265,-82.9119,828.084201331943,POI3
4524928,2017-06-21 01:00:04.910,CA,ON,Kitchener,43.44144,-80.50166999999998,596.7879284036379,POI3
4524939,2017-06-21 14:00:05.353,CA,ON,Kitchener,43.4453,-80.4905,595.7889287973846,POI3
4524947,2017-06-21 00:00:06.163,CA,ON,Kitchener,43.4306,-80.4877,596.2824724544565,POI3
4524955,2017-06-21 17:00:06.737,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4525025,2017-06-21 19:00:06.807,CA,ON,Sarnia,42.9864,-82.3638,754.9680250679719,POI3
4525101,2017-06-21 09:00:07.253,CA,SK,Saskatoon,52.1225,-106.72488,480.8702720426305,POI1
4525142,2017-06-21 08:00:08.273,CA,ON,Brampton,43.78,-79.74,525.354713065345,POI3
4525261,2017-06-21 15:00:07.143,CA,ON,London,42.9923,-81.2531,673.5230698403195,POI3
4525324,2017-06-21 08:00:07.050,CA,ON,Waterloo,43.4634,-80.5201,597.1005652446332,POI3
4525382,2017-06-21 21:00:07.123,CA,ON,Windsor,42.3297,-82.9482,830.5364139874239,POI3
4525479,2017-06-21 10:00:14.537,CA,AB,Edmonton,53.42688,-113.47175,13.300094888620801,POI1
4525558,2017-06-21 14:00:18.667,CA,SK,Saskatoon,52.1225,-106.72488,480.8702720426305,POI1
4525612,2017-06-21 08:00:20.943,CA,AB,Edmonton,53.586999999999996,-113.441,5.41837724653494,POI1
4525746,2017-06-21 21:00:21.123,CA,ON,Waterloo,43.4678,-80.584,601.5759881193775,POI3
4525757,2017-06-21 14:00:21.140,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4525800,2017-06-21 02:00:21.350,CA,ON,Ancaster,43.208,-79.9652,569.9727813137928,POI3
4525869,2017-06-21 03:00:21.503,CA,AB,Edmonton,53.61601,-113.45364,8.052271194633411,POI1
4526024,2017-06-21 13:00:21.617,CA,AB,Calgary,51.0419,-114.2,282.742706547167,POI1
4526111,2017-06-21 13:00:21.643,CA,AB,Lethbridge,49.6994,-112.822,430.30434442299105,POI1
4526136,2017-06-21 18:00:21.750,CA,ON,Burlington,43.332,-79.807,552.1128038204849,POI3
4526210,2017-06-21 06:00:22.823,CA,ON,Brampton,43.7796,-79.7681,527.4382198320598,POI3
4526337,2017-06-21 18:00:21.257,CA,ON,Mississauga,43.5414,-79.6824,532.4471247570111,POI3
4526420,2017-06-21 01:00:21.557,CA,AB,Calgary,50.9722,-114.06200000000001,288.96586791230584,POI1
4526426,2017-06-21 17:00:21.607,CA,QC,Saint-Nicolas,46.72072,-71.30409,219.52353064517936,POI3
4526443,2017-06-21 07:00:21.727,CA,AB,Calgary,50.93982000000001,-114.03211,292.27045853701526,POI1
4526505,2017-06-21 03:00:21.950,CA,ON,North York,43.787,-79.4169,501.3731366572283,POI3
4526625,2017-06-21 04:00:21.363,CA,ON,Ancaster,43.208,-79.9652,569.9727813137928,POI3
4526695,2017-06-21 13:00:21.477,CA,ON,Etobicoke,43.69971,-79.53618,514.1608890472037,POI3
4526775,2017-06-21 03:00:21.563,CA,AB,Rocky Mountain House,52.38629,-114.92294,160.96751244666123,POI1
4526821,2017-06-21 01:00:21.630,CA,AB,Calgary,50.9722,-114.06200000000001,288.96586791230584,POI1
4526865,2017-06-21 06:00:22.377,CA,ON,Mississauga,43.5812,-79.6323,526.8613042791966,POI3
4526950,2017-06-21 05:00:23.497,CA,AB,Calgary,50.9093,-114.1028,296.2835811696564,POI1
4527041,2017-06-21 19:00:24.713,CA,ON,London,42.993,-81.169,667.4142790313709,POI3
4527101,2017-06-21 01:00:25.740,CA,ON,Toronto,43.6466,-79.4493,510.4270798070224,POI3
4527148,2017-06-21 19:00:20.903,CA,AB,Airdrie,51.27979000000001,-114.00324,254.51220165090294,POI1
4527192,2017-06-21 05:00:21.100,CA,ON,Toronto,43.6682,-79.4209,507.318235671097,POI3
4527235,2017-06-21 08:00:21.153,CA,ON,Waterloo,43.4737,-80.5309,597.4093891673598,POI3
4527267,2017-06-21 07:00:21.563,CA,AB,Calgary,51.17119,-114.1577,268.07120164787216,POI1
4527346,2017-06-21 06:00:23.430,CA,ON,Sudbury,46.5213,-80.947,580.5767244229222,POI3
4527396,2017-06-21 15:00:25.867,CA,AB,Calgary,51.0494,-113.9564,279.54385751550666,POI1
4527441,2017-06-21 07:00:21.113,CA,ON,Burlington,43.375,-79.8434,552.4620034782424,POI3
4527443,2017-06-21 04:00:21.377,CA,ON,Brampton,43.71144,-79.76698,530.449530816023,POI3
4527536,2017-06-21 13:00:21.510,CA,AB,Edmonton,53.5105,-113.37,8.619082209774929,POI1
4527537,2017-06-21 13:00:21.667,CA,AB,Brooks,50.58495,-111.89101,346.9232428083343,POI1
4527556,2017-06-21 03:00:22.960,CA,ON,Mississauga,43.72139,-79.64403,521.0009472308825,POI3
4527583,2017-06-21 02:00:24.580,CA,AB,Edmonton,53.4398,-113.53742,12.315244617602099,POI1
4527587,2017-06-21 17:00:25.100,CA,AB,Calgary,51.0876,-114.0214,275.86992137416655,POI1
4527628,2017-06-21 13:00:26.057,CA,ON,Thunder Bay,48.3738,-89.2779,1232.0036842107243,POI3
4527720,2017-06-21 09:00:26.090,CA,ON,North York,43.7576,-79.461,505.95910819934187,POI3
4527727,2017-06-21 09:00:23.617,CA,AB,Edmonton,53.4564,-113.521,10.2534294762205,POI1
4527798,2017-06-21 13:00:24.387,CA,AB,Edmonton,53.4398,-113.53742,12.315244617602099,POI1
4527807,2017-06-21 09:00:25.370,CA,ON,North York,43.76164,-79.50135,508.7138340778399,POI3
4527830,2017-06-21 18:00:26.080,CA,QC,Saint-Laurent,45.5057,-73.6814,9.165353201654115,POI3
4527882,2017-06-21 15:00:26.250,CA,ON,Dundas,43.2649,-79.9555,566.2370860055414,POI3
4527890,2017-06-21 16:00:25.883,CA,ON,Toronto,43.6466,-79.4493,510.4270798070224,POI3
4527967,2017-06-21 10:00:26.193,CA,ON,Toronto,43.6769,-79.3784,503.82123865589443,POI3
4528009,2017-06-21 02:00:27.963,CA,AB,Calgary,51.0823,-113.9578,275.9185976510532,POI1
4528078,2017-06-21 16:00:28.770,CA,ON,Burlington,43.34442,-79.79248,550.4238084786639,POI3
4528166,2017-06-21 10:00:26.063,CA,AB,Calgary,50.9412,-114.11399999999999,292.8800084189011,POI1
4528350,2017-06-21 16:00:29.263,CA,QC,Montréal,45.5884,-73.5641,7.428205694514355,POI3
4528470,2017-06-21 04:00:26.093,CA,ON,Scarborough,43.7997,-79.3209,493.781845416305,POI3
4528481,2017-06-21 01:00:26.113,CA,ON,Toronto,43.6466,-79.4493,510.4270798070224,POI3
4528651,2017-06-21 12:00:28.960,CA,AB,Edmonton,53.4688,-113.508,8.730384210857519,POI1
4528676,2017-06-21 01:00:28.277,CA,AB,Calgary,51.133,-113.85600000000001,269.58353928321793,POI1
4528678,2017-06-21 12:00:29.040,CA,AB,Edmonton,53.54813000000001,-113.59428,7.176731925943918,POI1
4528767,2017-06-21 19:00:29.483,CA,ON,Markham,43.8601,-79.3341,491.96595676507275,POI3
4528809,2017-06-21 02:00:31.280,CA,AB,Spruce Grove,53.54628,-113.88183,26.177086387190766,POI1
4528850,2017-06-21 04:00:29.240,CA,AB,Calgary,51.15648,-114.07926,268.8348004975404,POI1
4528952,2017-06-21 00:00:29.640,CA,ON,Brampton,43.7796,-79.7681,527.4382198320598,POI3
4529001,2017-06-21 19:00:29.943,CA,ON,Markham,43.8412,-79.3262,492.24944474260576,POI3
4529076,2017-06-21 07:00:33.240,CA,AB,Bonnyville,54.26948,-110.72648999999998,197.86552238958333,POI1
